frame,timestamp,fps,objects,contact_type,contact_active,is_persisting,flickers_so_far
0,20:18:34.128,0.2,3,NO,0,0,0
1,20:18:34.225,10.3,3,NO,0,0,0
2,20:18:34.253,35.5,3,NO,0,0,0
3,20:18:34.328,13.2,3,NO,0,0,0
4,20:18:34.362,30.1,3,NO,0,0,0
5,20:18:34.392,33.3,3,NO,0,0,0
6,20:18:34.496,9.6,3,NO,0,0,0
7,20:18:34.530,29.4,3,NO,0,0,0
8,20:18:34.560,33.1,3,NO,0,0,0
9,20:18:34.641,12.4,3,NO,0,0,0
10,20:18:34.686,22.5,2,NO,0,0,0
11,20:18:34.717,31.5,2,NO,0,0,0
12,20:18:34.798,12.5,2,NO,0,0,0
13,20:18:34.827,34.4,2,NO,0,0,0
14,20:18:34.862,28.0,2,NO,0,0,0
15,20:18:34.979,8.6,2,NO,0,0,0
16,20:18:35.013,28.8,2,NO,0,0,0
17,20:18:35.052,25.6,2,NO,0,0,0
18,20:18:35.152,10.0,2,NO,0,0,0
19,20:18:35.190,26.4,2,NO,0,0,0
20,20:18:35.238,21.2,2,NO,0,0,0
21,20:18:35.335,10.2,2,NO,0,0,0
22,20:18:35.376,25.1,2,NO,0,0,0
23,20:18:35.408,30.1,2,NO,0,0,0
24,20:18:35.489,12.4,2,NO,0,0,0
25,20:18:35.530,24.7,2,NO,0,0,0
26,20:18:35.560,33.0,2,NO,0,0,0
27,20:18:35.638,12.9,2,NO,0,0,0
28,20:18:35.670,31.3,2,NO,0,0,0
29,20:18:35.706,27.3,2,NO,0,0,0
30,20:18:35.814,9.3,2,NO,0,0,0
31,20:18:35.842,35.4,2,NO,0,0,0
32,20:18:35.874,32.4,2,NO,0,0,0
33,20:18:35.958,11.9,2,NO,0,0,0
34,20:18:35.995,26.7,2,NO,0,0,0
35,20:18:36.026,32.1,2,NO,0,0,0
36,20:18:36.105,12.7,2,NO,0,0,0
37,20:18:36.140,27.9,2,NO,0,0,0
38,20:18:36.189,20.4,2,NO,0,0,0
39,20:18:36.280,11.1,2,NO,0,0,0
40,20:18:36.323,22.7,1,NO,0,0,0
41,20:18:36.351,36.5,1,NO,0,0,0
42,20:18:36.440,11.2,1,NO,0,0,0
43,20:18:36.485,22.8,1,NO,0,0,0
44,20:18:36.526,24.1,1,NO,0,0,0
45,20:18:36.605,12.6,1,NO,0,0,0
46,20:18:36.634,35.2,1,NO,0,0,0
47,20:18:36.666,31.1,1,NO,0,0,0
48,20:18:36.773,9.3,1,NO,0,0,0
49,20:18:36.810,27.5,1,NO,0,0,0
50,20:18:36.880,14.1,2,TOUCH,1,0,1
51,20:18:36.975,10.6,2,TOUCH,1,0,1
52,20:18:37.011,27.9,2,TOUCH,1,0,1
53,20:18:37.041,32.3,2,TOUCH,1,0,1
54,20:18:37.123,12.3,2,TOUCH,1,0,1
55,20:18:37.175,19.3,2,TOUCH,1,0,1
56,20:18:37.217,23.2,2,TOUCH,1,0,1
57,20:18:37.312,10.6,2,TOUCH,1,0,1
58,20:18:37.354,23.5,2,TOUCH,1,0,1
59,20:18:37.385,32.6,2,TOUCH,1,0,1
60,20:18:37.508,8.1,3,PERSIST,1,1,1
61,20:18:37.542,29.8,3,PERSIST,1,1,1
62,20:18:37.573,32.0,3,PERSIST,1,1,1
63,20:18:37.656,12.0,3,PERSIST,1,1,1
64,20:18:37.702,21.9,3,PERSIST,1,1,1
65,20:18:37.748,21.4,3,PERSIST,1,1,1
66,20:18:37.825,13.1,3,PERSIST,1,1,1
67,20:18:37.870,22.3,3,PERSIST,1,1,1
68,20:18:37.922,19.1,3,PERSIST,1,1,1
69,20:18:38.013,11.0,3,PERSIST,1,1,1
70,20:18:38.080,14.9,3,GRIP,1,0,1
71,20:18:38.132,19.3,3,GRIP,1,0,1
72,20:18:38.233,9.9,3,GRIP,1,0,1
73,20:18:38.277,22.6,3,GRIP,1,0,1
74,20:18:38.324,21.2,3,GRIP,1,0,1
75,20:18:38.417,10.7,3,GRIP,1,0,1
76,20:18:38.451,30.0,3,GRIP,1,0,1
77,20:18:38.518,14.8,3,GRIP,1,0,1
78,20:18:38.633,8.7,3,GRIP,1,0,1
79,20:18:38.670,26.5,3,GRIP,1,0,1
80,20:18:38.721,20.1,5,GRIP,1,0,1
81,20:18:38.833,8.9,5,GRIP,1,0,1
82,20:18:38.872,25.6,5,GRIP,1,0,1
83,20:18:38.922,20.1,5,GRIP,1,0,1
84,20:18:39.037,8.7,5,GRIP,1,0,1
85,20:18:39.076,26.7,5,GRIP,1,0,1
