frame,timestamp,fps,objects,contact_type,contact_active,is_persisting,flickers_so_far,dynamic_radius
0,01:13:57.123,0.2,1,NO,0,0,0,79
1,01:13:57.219,10.3,1,NO,0,0,0,71
2,01:13:57.289,14.2,1,NO,0,0,0,71
3,01:13:57.325,27.7,1,NO,0,0,0,71
4,01:13:57.408,12.2,1,NO,0,0,0,71
5,01:13:57.435,37.0,1,NO,0,0,0,71
6,01:13:57.518,11.9,1,NO,0,0,0,71
7,01:13:57.562,22.9,1,NO,0,0,0,71
8,01:13:57.649,11.5,1,NO,0,0,0,71
9,01:13:57.685,27.8,1,NO,0,0,0,71
10,01:13:57.781,10.3,1,NO,0,0,0,71
11,01:13:57.811,34.5,1,NO,0,0,0,70
12,01:13:57.894,12.0,1,NO,0,0,0,70
13,01:13:57.941,21.3,1,NO,0,0,0,70
14,01:13:58.041,10.0,1,NO,0,0,0,70
15,01:13:58.076,27.8,1,NO,0,0,0,69
16,01:13:58.166,11.1,1,NO,0,0,0,69
17,01:13:58.203,27.7,1,NO,0,0,0,68
18,01:13:58.284,12.4,1,NO,0,0,0,68
19,01:13:58.313,34.8,1,NO,0,0,0,68
20,01:13:58.406,10.7,2,NO,0,0,0,67
21,01:13:58.436,33.6,2,NO,0,0,0,67
22,01:13:58.522,11.6,2,NO,0,0,0,66
23,01:13:58.574,19.3,2,NO,0,0,0,66
24,01:13:58.669,10.5,2,NO,0,0,0,66
25,01:13:58.702,30.0,2,NO,0,0,0,66
26,01:13:58.785,12.0,2,NO,0,0,0,66
27,01:13:58.818,30.7,2,NO,0,0,0,66
28,01:13:58.920,9.8,2,NO,0,0,0,65
29,01:13:58.952,30.4,2,NO,0,0,0,65
30,01:13:59.058,9.5,2,NO,0,0,0,65
31,01:13:59.094,27.8,2,NO,0,0,0,65
32,01:13:59.206,8.9,2,NO,0,0,0,65
33,01:13:59.249,23.0,2,NO,0,0,0,65
34,01:13:59.328,12.7,2,NO,0,0,0,65
35,01:13:59.357,34.2,2,NO,0,0,0,65
36,01:13:59.438,12.4,2,NO,0,0,0,65
37,01:13:59.472,29.4,2,NO,0,0,0,65
38,01:13:59.550,12.8,2,NO,0,0,0,65
39,01:13:59.576,37.7,2,NO,0,0,0,65
40,01:13:59.700,8.1,2,NO,0,0,0,65
41,01:13:59.733,30.3,2,NO,0,0,0,65
42,01:13:59.819,11.6,2,NO,0,0,0,65
43,01:13:59.863,22.8,2,NO,0,0,0,64
44,01:13:59.951,11.4,2,NO,0,0,0,64
45,01:13:59.986,28.9,2,NO,0,0,0,64
46,01:14:00.072,11.6,2,NO,0,0,0,64
47,01:14:00.110,26.5,2,NO,0,0,0,64
48,01:14:00.217,9.3,2,NO,0,0,0,64
49,01:14:00.253,27.4,2,NO,0,0,0,64
50,01:14:00.353,10.0,2,NO,0,0,0,63
51,01:14:00.394,24.6,2,NO,0,0,0,63
52,01:14:00.479,11.7,2,NO,0,0,0,63
53,01:14:00.518,25.8,2,NO,0,0,0,63
54,01:14:00.610,10.9,2,NO,0,0,0,63
55,01:14:00.638,35.2,2,NO,0,0,0,63
56,01:14:00.718,12.4,2,NO,0,0,0,63
57,01:14:00.750,31.3,2,NO,0,0,0,63
58,01:14:00.833,12.1,2,NO,0,0,0,63
59,01:14:00.875,23.9,2,NO,0,0,0,63
60,01:14:00.968,10.7,1,NO,0,0,0,63
61,01:14:01.000,31.3,1,NO,0,0,0,63
62,01:14:01.078,12.8,1,NO,0,0,0,62
63,01:14:01.110,32.0,1,NO,0,0,0,62
64,01:14:01.182,13.8,1,NO,0,0,0,62
65,01:14:01.220,26.5,1,NO,0,0,0,62
66,01:14:01.297,12.9,1,NO,0,0,0,62
67,01:14:01.322,39.6,1,NO,0,0,0,62
68,01:14:01.410,11.4,1,NO,0,0,0,62
69,01:14:01.442,31.3,1,NO,0,0,0,62
70,01:14:01.534,10.7,2,NO,0,0,0,62
71,01:14:01.574,25.5,2,NO,0,0,0,62
72,01:14:01.678,9.7,2,NO,0,0,0,62
73,01:14:01.709,31.4,2,NO,0,0,0,62
74,01:14:01.784,13.5,2,NO,0,0,0,62
75,01:14:01.822,25.7,2,NO,0,0,0,62
76,01:14:01.900,12.7,2,NO,0,0,0,62
77,01:14:01.926,38.6,2,NO,0,0,0,62
78,01:14:02.007,12.3,2,NO,0,0,0,62
79,01:14:02.035,35.8,2,NO,0,0,0,62
80,01:14:02.131,10.5,1,NO,0,0,0,62
81,01:14:02.164,29.7,1,NO,0,0,0,62
82,01:14:02.252,11.5,1,NO,0,0,0,62
83,01:14:02.284,31.0,1,NO,0,0,0,62
84,01:14:02.356,13.8,1,NO,0,0,0,63
